Date,Total Cases,Total Death
23 Jan 23,4885426,18508
22 Jan 23,4882683,18470
21 Jan 23,4879169,18441
20 Jan 23,4875374,18399
19 Jan 23,4871355,18352
18 Jan 23,4867556,18295
17 Jan 23,4863690,18242
16 Jan 23,4859037,18192
15 Jan 23,4852776,18126
14 Jan 23,4845027,18072
13 Jan 23,4836633,17978
12 Jan 23,4827425,17904
11 Jan 23,4818146,17837
10 Jan 23,4808767,17762
09 Jan 23,4782878,17690
08 Jan 23,4761584,17616
07 Jan 23,4734961,17532
06 Jan 23,4705589,17470
05 Jan 23,4613307,17336
04 Jan 23,4596884,17273
03 Jan 23,4580698,17198
02 Jan 23,4560468,17124
01 Jan 23,4537107,17062
31 Dec 22,4507900,17010
30 Dec 22,4480070,16938
29 Dec 22,4455175,16876
28 Dec 22,4434310,16817
27 Dec 22,4415684,16764
26 Dec 22,4396286,16717
25 Dec 22,4375031,16667
24 Dec 22,4353669,16628
23 Dec 22,4333417,16589
22 Dec 22,4313712,16589
21 Dec 22,4290815,16506
20 Dec 22,4275828,16506
19 Dec 22,4239595,16416
18 Dec 22,4221819,16390
17 Dec 22,4215617,16348
16 Dec 22,4199891,16316
15 Dec 22,4182811,16297
14 Dec 22,4167941,16262
13 Dec 22,4146984,16225
12 Dec 22,4123336,16200
11 Dec 22,4097741,16176
10 Dec 22,4070575,16155
09 Dec 22,4039789,16132
08 Dec 22,4004311,16105
07 Dec 22,3967054,16083
06 Dec 22,3931982,16067
05 Dec 22,3892221,16047
04 Dec 22,3851748,16031
03 Dec 22,3837220,16012
02 Dec 22,3764783,16001
01 Dec 22,3719252,15986
30 Nov 22,3705990,15970
29 Nov 22,3627131,15957
28 Nov 22,3580291,15930
27 Nov 22,3533755,15910
26 Nov 22,3490482,15901
25 Nov 22,3449676,15885
24 Nov 22,3437108,15872
23 Nov 22,3373507,15860
22 Nov 22,3364415,15847
21 Nov 22,3329533,15834
20 Nov 22,3295792,15819
19 Nov 22,3242270,15809
18 Nov 22,3210359,15801
17 Nov 22,3200035,15789
16 Nov 22,3153405,15781
15 Nov 22,3129859,16091
14 Nov 22,3108324,16081
13 Nov 22,3100114,16072
12 Nov 22,3070130,16066
11 Nov 22,3053673,16056
10 Nov 22,3046538,16047
09 Nov 22,3026615,16034
08 Nov 22,3013968,15707
07 Nov 22,3002843,15702
06 Nov 22,2997306,15689
05 Nov 22,2984649,15671
04 Nov 22,2976228,15660
03 Nov 22,2967572,15650
02 Nov 22,2959481,15642
01 Nov 22,2952291,15629
31 Oct 22,2944653,15617
30 Oct 22,2937389,15605
29 Oct 22,2930381,15597
28 Oct 22,2923470,15590
27 Oct 22,2916167,15582
26 Oct 22,2909352,15575
25 Oct 22,2902917,15565
24 Oct 22,2896422,15558
23 Oct 22,2889897,15554
22 Oct 22,2882971,15547
21 Oct 22,2876602,15538
20 Oct 22,2870228,15529
19 Oct 22,2864168,15517
18 Oct 22,2858293,15510
17 Oct 22,2852031,15505
16 Oct 22,2845461,15500
15 Oct 22,2838844,15493
14 Oct 22,2832279,15486
13 Oct 22,2825166,15478
12 Oct 22,2820009,15469
11 Oct 22,2811879,15460
10 Oct 22,2804912,15450
09 Oct 22,2799588,15447
08 Oct 22,2791596,15434
07 Oct 22,2785437,15432
06 Oct 22,2779780,15426
05 Oct 22,2775058,15416
04 Oct 22,2770859,15408
03 Oct 22,2766475,15405
02 Oct 22,2762150,15399
01 Oct 22,2757442,15393
30 Sep 22,2752556,15385
29 Sep 22,2747530,15380
28 Sep 22,2742421,15366
27 Sep 22,2737936,15360
26 Sep 22,2733103,15348
25 Sep 22,2728374,15338
24 Sep 22,2722353,15331
23 Sep 22,2716077,15166
22 Sep 22,2709291,15149
21 Sep 22,2702866,15140
20 Sep 22,2696527,15133
19 Sep 22,2689291,15123
18 Sep 22,2680816,15100
17 Sep 22,2671881,15084
16 Sep 22,2661940,15068
15 Sep 22,2652714,15062
14 Sep 22,2644191,15052
13 Sep 22,2635990,15042
12 Sep 22,2626983,15031
11 Sep 22,2616674,15020
10 Sep 22,2605616,15012
09 Sep 22,2594190,15001
08 Sep 22,2581660,14989
07 Sep 22,2569910,14973
06 Sep 22,2558905,14964
05 Sep 22,2547297,14956
04 Sep 22,2533531,14948
03 Sep 22,2522721,14941
02 Sep 22,2510703,14933
01 Sep 22,2498088,14922
31 Aug 22,2486863,14913
30 Aug 22,2476316,14900
29 Aug 22,2466054,14896
28 Aug 22,2452580,14886
27 Aug 22,2443816,14882
26 Aug 22,2435598,14875
25 Aug 22,2425558,14866
24 Aug 22,2416140,14852
23 Aug 22,2407635,14842
22 Aug 22,2397571,14837
21 Aug 22,2390686,14834
20 Aug 22,2382169,14829
19 Aug 22,2372972,14821
18 Aug 22,2363469,14816
17 Aug 22,2354676,14812
16 Aug 22,2345333,14801
15 Aug 22,2339195,14797
14 Aug 22,2330459,14794
13 Aug 22,2322331,14791
12 Aug 22,2316346,14787
11 Aug 22,2311307,14786
10 Aug 22,2304661,14782
09 Aug 22,2300466,14779
08 Aug 22,2295769,14772
07 Aug 22,2290634,14767
06 Aug 22,2285355,14763
05 Aug 22,2280418,14759
04 Aug 22,2274979,14756
03 Aug 22,2270011,14752
02 Aug 22,2265424,14741
01 Aug 22,2260777,14735
31 Jul 22,2255689,14734
30 Jul 22,2250565,14730
29 Jul 22,2245156,14725
28 Jul 22,2240160,14720
27 Jul 22,2234541,14710
26 Jul 22,2229362,14704
25 Jul 22,2224482,14701
